GEOID,SUMLEV,STATE,NAME,POP100,HU100
1,40,1,Alabama,4779736,2171853
2,40,2,Alaska,710231,306967
4,40,4,Arizona,6392017,2844526
5,40,5,Arkansas,2915918,1316299
6,40,6,California,37253956,13680081
8,40,8,Colorado,5029196,2212898
9,40,9,Connecticut,3574097,1487891
10,40,10,Delaware,897934,405885
11,40,11,District of Columbia,601723,296719
12,40,12,Florida,18801310,8989580
13,40,13,Georgia,9687653,4088801
15,40,15,Hawaii,1360301,519508
16,40,16,Idaho,1567582,667796
17,40,17,Illinois,12830632,5296715
18,40,18,Indiana,6483802,2795541
19,40,19,Iowa,3046355,1336417
20,40,20,Kansas,2853118,1233215
21,40,21,Kentucky,4339367,1927164
22,40,22,Louisiana,4533372,1964981
23,40,23,Maine,1328361,721830
24,40,24,Maryland,5773552,2378814
25,40,25,Massachusetts,6547629,2808254
26,40,26,Michigan,9883640,4532233
27,40,27,Minnesota,5303925,2347201
28,40,28,Mississippi,2967297,1274719
29,40,29,Missouri,5988927,2712729
30,40,30,Montana,989415,482825
31,40,31,Nebraska,1826341,796793
32,40,32,Nevada,2700551,1173814
33,40,33,New Hampshire,1316470,614754
34,40,34,New Jersey,8791894,3553562
35,40,35,New Mexico,2059179,901388
36,40,36,New York,19378102,8108103
37,40,37,North Carolina,9535483,4327528
38,40,38,North Dakota,672591,317498
39,40,39,Ohio,11536504,5127508
40,40,40,Oklahoma,3751351,1664378
41,40,41,Oregon,3831074,1675562
42,40,42,Pennsylvania,12702379,5567315
44,40,44,Rhode Island,1052567,463388
45,40,45,South Carolina,4625364,2137683
46,40,46,South Dakota,814180,363438
47,40,47,Tennessee,6346105,2812133
48,40,48,Texas,25145561,9977436
49,40,49,Utah,2763885,979709
50,40,50,Vermont,625741,322539
51,40,51,Virginia,8001024,3364939
53,40,53,Washington,6724540,2885677
54,40,54,West Virginia,1852994,881917
55,40,55,Wisconsin,5686986,2624358
56,40,56,Wyoming,563626,261868
72,40,72,Puerto Rico,3725789,1636946
